"","employees","salaries_2017","salaries_2018","change","got_raise"
"74","Employee 74",44789.3893904984,46286.6443942767,1497.25500377826,TRUE
"75","Employee 75",44684.6728539094,43948.3572170138,-736.315636895597,FALSE
"76","Employee 76",49361.8812854402,48308.6439268664,-1053.23735857382,FALSE
"77","Employee 77",42514.5706650801,42589.1140161548,74.5433510746807,TRUE
"78","Employee 78",45866.2390313111,47768.3573681861,1902.11833687499,TRUE
"79","Employee 79",43602.6124353521,44156.7240294535,554.111594101414,TRUE
"80","Employee 80",44700.6483841687,48627.2801656742,3926.63178150542,TRUE
"81","Employee 81",47656.4002525993,53221.3079428766,5564.90769027732,TRUE
"82","Employee 82",43573.176774662,38735.9509558883,-4837.22581877373,FALSE
"83","Employee 83",46220.1267061755,54378.4534535371,8158.32674736157,TRUE
"84","Employee 84",42195.9935780615,50796.9825144392,8600.98893637769,TRUE
"85","Employee 85",40245.0452838093,41440.3324679006,1195.28718409128,TRUE
"86","Employee 86",43812.99598841,42823.2618316542,-989.734156755731,FALSE
"87","Employee 87",49960.1607723162,50704.4512953144,744.290522998199,TRUE
"88","Employee 88",44455.9053238481,48691.5720987599,4235.66677491181,TRUE
"89","Employee 89",45515.3123242781,54264.3866699655,8749.0743456874,TRUE
"90","Employee 90",48258.2123298198,50340.6761353835,2082.46380556375,TRUE
"91","Employee 91",45752.1832897328,49171.7061714735,3419.5228817407,TRUE
"92","Employee 92",41767.717981711,37639.5868032705,-4128.13117844053,FALSE
"93","Employee 93",49258.1607308239,50744.4423844572,1486.28165363334,TRUE
"94","Employee 94",46622.8947998025,47244.436199544,621.541399741545,TRUE
"95","Employee 95",49292.7617789246,52736.9152288884,3444.15344996378,TRUE
"96","Employee 96",44198.0347409844,53116.0981417634,8918.06340077892,TRUE
"97","Employee 97",49213.3787530474,50088.1019607186,874.723207671195,TRUE
"98","Employee 98",43010.8305928297,49608.0946084112,6597.26401558146,TRUE
"99","Employee 99",45795.8359341137,49955.3335399833,4159.49760586955,TRUE
"100","Employee 100",43576.417802833,41048.6787720583,-2527.73903077468,FALSE
